# Constructed from biom file
#OTU ID	A1JSBP1	A1SWBP1	A2SSBP2	A3JMBP4	T14MYBP2	T14OMBP2	T15SBBP4	T15WSBP4	T18JJBP5	T16RMBP5	taxonomy
4422913	0.0	5.0	15.0	6.0	0.0	95.0	274.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudorhodobacter; s__mine_drainage
4457840	0.0	7.0	0.0	10.0	0.0	51.0	6.0	0.0	679.0	1061.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Granulicella
282360	0.0	0.0	0.0	0.0	3073.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium
3798902	0.0	4.0	0.0	18.0	338.0	145.0	84.0	0.0	458.0	1487.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus; s__uncultured_forest
250422	0.0	25.0	0.0	60.0	0.0	189.0	45.0	0.0	361.0	953.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae
846667	0.0	3.0	0.0	11.0	0.0	88.0	14.0	0.0	988.0	1333.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Acidicapsa; s__Acidicapsa_borealis
1040091	1965.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria
11632	0.0	0.0	0.0	0.0	900.0	328.0	0.0	0.0	3.0	6.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Banisveld
239649	0.0	19.0	0.0	45.0	0.0	114.0	167.0	0.0	555.0	1022.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Granulicella
7972	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1601.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella
538998	0.0	967.0	0.0	2.0	0.0	1302.0	0.0	0.0	29.0	43.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae
529786	561.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquicella
913706	0.0	45.0	0.0	0.0	746.0	107.0	0.0	0.0	2.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae
237703	0.0	0.0	0.0	0.0	1278.0	0.0	0.0	0.0	0.0	1.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__uncultured_organism
1012668	0.0	5.0	18.0	0.0	1559.0	34.0	0.0	0.0	1.0	0.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__uncultured_soil
131516	0.0	0.0	8.0	0.0	1744.0	0.0	0.0	0.0	0.0	2.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter; s__marine_metagenome
862683	0.0	0.0	0.0	0.0	221.0	4.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_jeddahense
4345497	0.0	1.0	0.0	58.0	0.0	10.0	142.0	0.0	555.0	1085.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Banisveld
672144	78.0	27.0	11.0	9.0	69.0	157.0	14.0	0.0	3.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
3202924	1.0	0.0	12.0	0.0	107.0	1.0	0.0	205.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium
1144585	0.0	129.0	13.0	19.0	541.0	453.0	116.0	0.0	43.0	95.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
718335	0.0	0.0	62.0	0.0	781.0	0.0	8.0	0.0	0.0	1.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter; s__marine_metagenome
